,s0,s1,s2,s_g0,s_g1,s_g2,a,r,r_disco
115,115.0,15.376857857498504,-0.5104321429005467,31.0,13.920000000000009,-0.494999999999977,0.0,-0.1016520802162082,-0.8293699636936472
116,116.0,15.87346717984786,-0.5135053798925462,31.0,13.920000000000009,-0.494999999999977,1.0,-0.9208470231573547,-0.7655766155354563
117,117.0,15.57278904431772,-0.5141200272909465,7.0,14.0,10.624998400000006,0.0,0.0014310236679059285,0.0014310236679059285
118,118.0,15.912653417211683,-0.5142429567706266,7.0,14.0,10.624998400000006,2.0,0.01560082543087532,0.2092140309209049
119,119.0,15.980626291790468,-0.11426754266656314,7.0,14.0,10.624998400000006,2.0,0.020261641628624316,0.17134864677062242
120,120.0,15.994220866706211,0.365727540154249,7.0,14.0,10.624998400000006,2.0,0.023681580854650275,0.12621161175881718
121,121.0,15.99693978168936,0.8617265567184127,7.0,14.0,10.624998400000006,0.0,0.01098177872086381,0.07916224033145268
122,122.0,16.397483564685974,0.9609263600312454,7.0,14.0,10.624998400000006,1.0,-0.014292119665738429,0.08294196457694508
123,123.0,16.07759232128529,0.980766320693812,7.0,14.0,10.624998400000006,0.0,0.004445114410079748,0.11874772679336522
124,124.0,16.413614072605146,0.9847343128263262,7.0,14.0,10.624998400000006,1.0,-0.01721212917143705,0.1367498246909805
125,125.0,16.080818422869104,0.985527911252829,7.0,14.0,10.624998400000006,3.0,-0.03305404585654076,0.17657060086281812
126,126.0,16.014259292921903,0.5856866309381301,7.0,14.0,10.624998400000006,3.0,-0.03249730495657166,0.19563257227741931
127,127.0,16.000947466932477,0.10571837487519087,7.0,14.0,10.624998400000006,2.0,0.009156599619778216,0.2138906944097843
128,128.0,15.998285101734592,0.40972472366260426,7.0,14.0,10.624998400000006,2.0,0.019318355034445622,0.21904418755310995
129,129.0,15.997752628695029,0.8705259934200846,7.0,14.0,10.624998400000006,3.0,-0.02415121504723916,0.19009895632282967
130,130.0,15.997646134087123,0.562686247371583,7.0,14.0,10.624998400000006,2.0,0.012422652303230641,0.19967710044251888
131,131.0,15.997624835165528,0.9011182981618813,7.0,14.0,10.624998400000006,2.0,0.022198180342776763,0.17063811434437767
132,132.0,15.997620575381216,1.3688047083199404,7.0,14.0,10.624998400000006,3.0,-0.02629234672671782,0.13633721619926759
133,133.0,15.997619723424346,1.0623419903515527,7.0,14.0,10.624998400000006,2.0,0.01420689090377425,0.17185138855229617
134,134.0,15.997619553032965,1.4010494467578747,7.0,14.0,10.624998400000006,0.0,0.018677297710420038,0.17347570877785407
135,135.0,16.397619518954688,1.4687909380391382,7.0,14.0,10.624998400000006,3.0,0.4305225117896509,0.14132951299909907
136,136.0,16.477619512139047,1.0823392362953896,89.0,13.396936205557683,0.08633578554069077,2.0,-0.03682389907794609,-0.03682389907794609
137,137.0,16.493619510775904,1.405048895946642,89.0,13.396936205557683,0.08633578554069077,0.0,-0.08009272439963155,-0.2954224091500779
138,138.0,16.89681951050328,1.4695908278768908,89.0,13.396936205557683,0.08633578554069077,2.0,-0.052665414241733544,-0.2303496228822783
139,139.0,16.977459510448757,1.882499214262939,89.0,13.396936205557683,0.08633578554069077,2.0,-0.05098293054587749,-0.20029025005132317
140,140.0,16.99358751043785,2.365080891540151,89.0,13.396936205557683,0.08633578554069077,3.0,0.02536517740142602,-0.1435476268602298
141,141.0,16.996813110435657,2.0615972269955893,89.0,13.396936205557683,0.08633578554069077,2.0,-0.03574466044433372,-0.18847474670288067
142,142.0,16.99745823043521,2.400900494086674,89.0,13.396936205557683,0.08633578554069077,1.0,0.043757034484158575,-0.18456755565349203
143,143.0,16.59758725443513,2.4687611475048907,89.0,13.396936205557683,0.08633578554069077,0.0,-0.04875627569965574,-0.27775952414869054
144,144.0,16.917613059235098,2.482333278188534,89.0,13.396936205557683,0.08633578554069077,1.0,0.04197693941379299,-0.3355158611142571
145,145.0,16.58161822019508,2.4850477043252592,89.0,13.396936205557683,0.08633578554069077,1.0,0.08218498864491958,-0.29768720940975196
146,146.0,16.114419252387076,2.4855905895526007,89.0,13.396936205557683,0.08633578554069077,0.0,-0.06397575893907492,-0.43487132736595463
147,147.0,16.420979458825467,2.4856991665980708,89.0,13.396936205557683,0.08633578554069077,0.0,-0.06965419241731108,-0.4035624773280082
148,148.0,16.88229150011313,2.4857208820071683,89.0,13.396936205557683,0.08633578554069077,1.0,0.037479221910071525,-0.09251183062047333
149,149.0,16.574553908370678,2.4857252250889914,89.0,13.396936205557683,0.08633578554069077,3.0,0.05059102970158741,-0.22766153023175884
150,150.0,16.513006390022188,2.085726093705352,89.0,13.396936205557683,0.08633578554069077,3.0,0.04968555467239494,-0.2699611082532808
151,151.0,16.500696886352483,1.6057262674286235,89.0,13.396936205557683,0.08633578554069077,0.0,-0.0571048182312926,-0.353121006760347
152,152.0,16.898234985618533,1.5097263021732767,89.0,13.396936205557683,0.08633578554069077,2.0,-0.049661065208511934,-0.3330296700062781
153,153.0,16.977742605471736,1.890526309122206,89.0,13.396936205557683,0.08633578554069077,1.0,0.042288707047960394,-0.2389938770672725
154,154.0,16.593644129442385,1.9666863105119927,89.0,13.396936205557683,0.08633578554069077,0.0,-0.04998647153792901,-0.23585825104803013
155,155.0,16.916824434236513,1.981918310789951,89.0,13.396936205557683,0.08633578554069077,2.0,-0.05058824166959708,-0.22901205102499428
156,156.0,16.981460495195325,2.384964710845546,89.0,13.396936205557683,0.08633578554069077,1.0,0.03445105132666909,-0.1654807573604336
157,157.0,16.594387707387096,2.465573990856665,89.0,13.396936205557683,0.08633578554069077,1.0,0.07258995169243199,-0.15856576396619754
158,158.0,16.11697314982546,2.4816958468588854,89.0,13.396936205557683,0.08633578554069077,0.0,-0.05764305220967908,-0.2742706744661535
159,159.0,16.421490238313115,2.484920218059333,89.0,13.396936205557683,0.08633578554069077,2.0,-0.06147543366681024,-0.27524553874059393
160,160.0,16.48239365601064,2.885565092299421,89.0,13.396936205557683,0.08633578554069077,0.0,-0.055981630615908384,-0.19008091063538168
161,161.0,16.89457433955013,2.9656940671474405,89.0,13.396936205557683,0.08633578554069077,3.0,0.02939791743213052,-0.16928695278906877
162,162.0,16.97701047625802,2.5817198621170476,89.0,13.396936205557683,0.08633578554069077,3.0,0.04294070152317089,0.11380846660885538
163,163.0,16.993497703599584,2.104925021110967,89.0,13.396936205557683,0.08633578554069077,3.0,0.044227502688206244,0.06748706878565107
164,164.0,16.996795149067903,1.6095660529097522,89.0,13.396936205557683,0.08633578554069077,3.0,0.042802821837342964,0.0064455788190008675
165,165.0,16.997454638161567,1.11049425926951,89.0,13.396936205557683,0.08633578554069077,0.0,-0.04017211052260672,-0.027867668947945755
166,166.0,17.397586535980306,1.0106799005414624,89.0,13.396936205557683,0.08633578554069077,2.0,-0.041545837850395784,-0.002231602719255517
